id,link,name,country,genre,status
138168,https://www.metal-archives.com/bands/%21T.O.O.H.%21/16265,!T.O.O.H.!,Czechia,Progressive Death Metal/Grindcore,Active
138169,https://www.metal-archives.com/bands/%21%C3%BAl../109481,!úl..,Czechia,Death/Black Metal,Split-up
138170,https://www.metal-archives.com/bands/%24Greed%24/3540423227,$Greed$,United States,Heavy/Thrash Metal,On hold
138171,https://www.metal-archives.com/bands/%24ilverdollar/60323,$ilverdollar,Sweden,Heavy/Power Metal,Active
138172,https://www.metal-archives.com/bands/%24lamboy%24/3540445218,$lamboy$,United States,Death Metal/Grindcore (early); Slam/Brutal Death Metal (later),Active
138173,https://www.metal-archives.com/bands/%24lutrot/3540438154,$lutrot,United States,Slam/Brutal Death Metal,Split-up
138174,https://www.metal-archives.com/bands/%24uicide_%24olution/35843,$uicide $olution,Singapore,Heavy Metal,On hold
138175,https://www.metal-archives.com/bands/%27._._._%5Bl%5Dight_am_I%27_._._./67530,'. . . [l]ight am I' . . .,Canada,Black Metal,Unknown
138176,https://www.metal-archives.com/bands/%27Ain/3540451613,'Ain,Mexico,Symphonic Metal,Active
138177,https://www.metal-archives.com/bands/%27Big_Jim%27_Shively/3540352410,'Big Jim' Shively,United States,Doom Metal/Psychedelic Rock,Active
138178,https://www.metal-archives.com/bands/%27Iisn%C3%A1%C3%A1h%C3%AD/3540457717,'Iisnááhí,United States,Black Metal,Active
138179,https://www.metal-archives.com/bands/%27Neath/70489,'Neath,Australia,Progressive Death Metal,Split-up
138180,https://www.metal-archives.com/bands/%28%27M%27%29_Inc./3540373050,('M') Inc.,United States,Death Metal,Unknown
138181,https://www.metal-archives.com/bands/%28%28%28...%29%29%29/3540352418,(((...))),Indonesia,Drone/Doom Metal,Active
138182,https://www.metal-archives.com/bands/%28%28Auman%29%29/3540349047,((Auman)),Indonesia,Heavy/Stoner Metal/Hard Rock,Split-up
138183,https://www.metal-archives.com/bands/%28%28Thorlock%29%29/3540288214,((Thorlock)),United States,Sludge/Stoner Metal,Active
138184,https://www.metal-archives.com/bands/%280%29/3540429542,(0),Denmark,Progressive Metal,Active
138185,https://www.metal-archives.com/bands/%28Cyber%5D.ocalypse%29_.._._../3540453682,(Cyber].ocalypse) .. . ..,Russia,Doom Metal/Rock,Active
138186,https://www.metal-archives.com/bands/%28Deadly%29_Silence/3540266881,(Deadly) Silence,Germany,Thrash/Groove Metal,Active
138187,https://www.metal-archives.com/bands/%28Dolch%29/3540460927,(Dolch),Germany,Blackened Doom Metal/Drone/Dark Ambient,Active
138188,https://www.metal-archives.com/bands/%28drama%29/108171,(drama),Croatia,Sludge/Doom Metal,Active
138189,https://www.metal-archives.com/bands/%28Echo%29/3540268831,(Echo),Italy,Melodic Death/Doom Metal,Active
138190,https://www.metal-archives.com/bands/%28god-rot%29/100527,(god-rot),United States,Progressive Death Metal/Grindcore,Unknown
138191,https://www.metal-archives.com/bands/%28Jhator%29/3540350094,(Jhator),Sweden,Death 'n' Roll,Active
138192,https://www.metal-archives.com/bands/%28Lone%29_Wolf_%26_Cub/3540455560,(Lone) Wolf & Cub,United States,Progressive Metalcore,Split-up
138193,https://www.metal-archives.com/bands/%28Origin_Unknown%29/3540463237,(Origin Unknown),United States,Metalcore/Crossover,Split-up
138194,https://www.metal-archives.com/bands/%28Psychoparalysis%29/3540306619,(Psychoparalysis),Finland,Progressive Death Metal,Active
138195,https://www.metal-archives.com/bands/%28Rabbit%29/3540418351,(Rabbit),United States,Drone/Doom Metal,Active
138196,https://www.metal-archives.com/bands/%28sic%29/3540292626,(sic),United States,Death Metal,Split-up
138197,https://www.metal-archives.com/bands/%28Sworn%29/3540323338,(Sworn),France,Progressive Metal,Split-up
138198,https://www.metal-archives.com/bands/%28V.E.G.A.%29/20535,(V.E.G.A.),International,Industrial Black Metal/Ambient,Unknown
138199,https://www.metal-archives.com/bands/%28waning%29/3540349778,(waning),United States,Dark Ambient (early); Doom/Post-Metal (later),Split-up
138200,https://www.metal-archives.com/bands/%29October%28/3540410502,)October(,Spain,Black Metal,Active
138201,https://www.metal-archives.com/bands/%2B3_Broadsword/3540257015,+3 Broadsword,Australia,Black Metal,Active
138202,https://www.metal-archives.com/bands/-_-_-/3540353044,- - -,Sweden,Atmospheric Black Metal,Unknown
138203,https://www.metal-archives.com/bands/.../3540257897,...,International,Depressive Black Metal (early); Post-Black Metal (later),Active
138204,https://www.metal-archives.com/bands/...Aaaarrghh.../33438,...Aaaarrghh...,Turkey,Black Metal,Unknown
138205,https://www.metal-archives.com/bands/...and_Darkness_Follows/3540439329,...and Darkness Follows,United Kingdom,Atmospheric Black Metal,Changed name
138206,https://www.metal-archives.com/bands/...and_Here_I_Lie/19272,...and Here I Lie,United States,Death/Doom Metal,Split-up
138207,https://www.metal-archives.com/bands/...and_Oceans/231,...and Oceans,Finland,"Symphonic Black Metal (early; later); Industrial/Electronic Metal (mid)",Active
138208,https://www.metal-archives.com/bands/...and_Silence_Remains/3540461037,...and Silence Remains,Australia,Power/Speed Metal,Active
138209,https://www.metal-archives.com/bands/...and_They_Will_Meet_God/24544,...and They Will Meet God,United States,Melodic Death Metal/Crossover,Split-up
138210,https://www.metal-archives.com/bands/...But_a_Thought/3540378506,...But a Thought,International,Progressive Metal,Active
138211,https://www.metal-archives.com/bands/...dieses/3540355934,...dieses,Russia,Black Metal,Active
138212,https://www.metal-archives.com/bands/...Do_Fundo..._Abismo/3540326997,...Do Fundo... Abismo,Brazil,Death/Doom Metal,Active
138213,https://www.metal-archives.com/bands/...Fallen/3540447342,...Fallen,Finland,Gothic/Doom Metal/Ambient,Split-up
138214,https://www.metal-archives.com/bands/...from_the_Abyss/3540443406,...from the Abyss,Brazil,Death Metal,Active
138215,https://www.metal-archives.com/bands/...from_the_Deep/3540399273,...from the Deep,Canada,Technical/Melodic Death Metal,Split-up
138216,https://www.metal-archives.com/bands/...in_Agony_of_the_Eclipsed_Moon/3540466149,...in Agony of the Eclipsed Moon,United States,Black Metal/Dark Ambient,Active
138217,https://www.metal-archives.com/bands/...in_Deviltry/3540471679,...in Deviltry,International,Melodic Doom Metal,Active
138218,https://www.metal-archives.com/bands/...in_Her_Lie/53017,...in Her Lie,France,Gothic/Doom Metal,Split-up
138219,https://www.metal-archives.com/bands/...of_Celestial/3540289576,...of Celestial,Ukraine,"Symphonic Black/Death Metal (early); Melodic Death Metal (later)",Active
138220,https://www.metal-archives.com/bands/...of_Dream_and_Drama/27211,...of Dream and Drama,Spain,Doom/Death Metal,Split-up
138221,https://www.metal-archives.com/bands/...of_the_Human_Condition/14744,...of the Human Condition,Australia,Melodic Death/Gothic Metal,Split-up
138222,https://www.metal-archives.com/bands/...on_the_Night/82136,...on the Night,Poland,Black/Death Metal,Split-up
138223,https://www.metal-archives.com/bands/...Sick_of_Life/3540411185,...Sick of Life,International,Black Metal,Split-up
138224,https://www.metal-archives.com/bands/...Under_a_Full_Moon/3540427593,...Under a Full Moon,United States,Black/Doom Metal,Active
138225,https://www.metal-archives.com/bands/.357/58217,.357,United States,Black Metal/Grindcore,Split-up
138226,https://www.metal-archives.com/bands/.357_Soundsystem/124935,.357 Soundsystem,Finland,"Death/Groove Metal; Death 'n' Roll",Split-up
138227,https://www.metal-archives.com/bands/.44_Caliber_Killers/98872,.44 Caliber Killers,United States,Thrash Metal/Punk/Crossover,Active
138228,https://www.metal-archives.com/bands/.F.O.A.D./3540337513,.F.O.A.D.,France,Death Metal,Active
138229,https://www.metal-archives.com/bands/.M1N14TUR%C3%865/3540443078,.M1N14TURÆ5,Mexico,Groove Metal,Active
138230,https://www.metal-archives.com/bands/.mt/3540465411,.mt,Brazil,Post-Black Metal,Active
138231,https://www.metal-archives.com/bands/.Nema/3540332807,.Nema,United States,Black Metal/Crust,Split-up
138232,https://www.metal-archives.com/bands/.springofdrownedpanda./3540380044,.springofdrownedpanda.,United States,Sludge/Doom Metal,Unknown
138233,https://www.metal-archives.com/bands/%3AInferno_9%3A/3540443454,:Inferno 9:,Italy,Black Metal,Active
138234,https://www.metal-archives.com/bands/%3AK%C3%A6lte%3A/3540469859,:Kælte:,Germany,Atmospheric Black Metal,Active
138235,https://www.metal-archives.com/bands/%3ANihus%3A/3540404191,:Nihus:,Brazil,Depressive Black Metal,Active
138236,https://www.metal-archives.com/bands/%3ANodfyr%3A/3540433757,:Nodfyr:,Netherlands,Pagan Metal,Active
138237,https://www.metal-archives.com/bands/%3ATremor/3540273892,:Tremor,Russia,Death Metal/Grindcore,Active
138238,https://www.metal-archives.com/bands/%3ATwingiant%3A/3540335949,:Twingiant:,United States,Stoner Metal,On hold
138239,https://www.metal-archives.com/bands/%C3%80_R%C3%A9pit/3540433310,À Répit,Italy,Black Metal,Active
138240,https://www.metal-archives.com/bands/%C3%84%C3%A4nip%C3%A4%C3%A4/3540373929,Äänipää,International,Experimental/Drone/Doom Metal,Unknown
138241,https://www.metal-archives.com/bands/%C3%84%C3%A4niportti/3540284797,Ääniportti,Finland,Death/Groove Metal,On hold
138242,https://www.metal-archives.com/bands/%C3%84%C3%A4ri%C3%B6/3540325137,Ääriö,Finland,Atmospheric Sludge Metal,Active
138243,https://www.metal-archives.com/bands/%C3%81cido/3540280974,Ácido,Brazil,Thrash Metal,Split-up
138244,https://www.metal-archives.com/bands/%C3%84era/3540461079,Äera,Germany,Atmospheric Black Metal,Active
138245,https://www.metal-archives.com/bands/%C3%81gadon/73684,Ágadon,Spain,Heavy/Power Metal,Active
138246,https://www.metal-archives.com/bands/%C3%81gaven/3540463020,Ágaven,Spain,Melodic Progressive Metal,Unknown
138247,https://www.metal-archives.com/bands/%C3%81gona/3540322673,Ágona,Brazil,Progressive Death/Thrash Metal,Active
138248,https://www.metal-archives.com/bands/%C3%84gresor/3540389001,Ägresor,Poland,Thrash Metal,Split-up
138249,https://www.metal-archives.com/bands/%C3%81guila_Guerrera/3540445905,Águila Guerrera,Argentina,Power/Heavy Metal,Active
138250,https://www.metal-archives.com/bands/%C3%81guila_Negra/3540445011,Águila Negra,Chile,Heavy/Power Metal,Active
138251,https://www.metal-archives.com/bands/%C3%84g%C3%BC%C3%BCl_S%C3%A4cr%C3%AFst/3540450872,Ägüül Säcrïst,United States,Raw Black Metal,Active
138252,https://www.metal-archives.com/bands/%C3%84k%C3%A4/57446,Äkä,Finland,Thrash Metal,Active
138253,https://www.metal-archives.com/bands/%C3%84kkikuolema/3540400411,Äkkikuolema,Finland,Black Metal/Noise,Split-up
138254,https://www.metal-archives.com/bands/%C3%81kratos/87858,Ákratos,Spain,Heavy/Thrash Metal,Unknown
138255,https://www.metal-archives.com/bands/%C3%84kth_G%C3%A1nah%C3%ABth/3540465394,Äkth Gánahëth,Iceland,Raw Black Metal,Active
138256,https://www.metal-archives.com/bands/%C3%81laghom/76053,Álaghom,Mexico,Progressive Metal,Active
138257,https://www.metal-archives.com/bands/%C3%81lcool/3540418950,Álcool,Brazil,Speed Metal,Active
138258,https://www.metal-archives.com/bands/%C3%80letrun/3540363703,Àletrun,Germany,Symphonic Pagan Metal,Active
138259,https://www.metal-archives.com/bands/%C3%81lfabl%C3%B3t/3540428952,Álfablót,United States,Black/Folk Metal,Active
138260,https://www.metal-archives.com/bands/%C3%82me_Noire/3540274846,Âme Noire,Canada,Black Metal,Unknown
138261,https://www.metal-archives.com/bands/%C3%82me_Noire/3540440597,Âme Noire,Australia,Blackened Deathcore,Active
138262,https://www.metal-archives.com/bands/%C3%82me_Perdue/3540447696,Âme Perdue,Canada,Black Metal,Active
138263,https://www.metal-archives.com/bands/%C3%84mniv%C3%B3r/3540403750,Ämnivór,United States,Groove/Thrash Metal,Active
138264,https://www.metal-archives.com/bands/%C3%81mok/46133,Ámok,Serbia,Gothic/Doom Metal,Split-up
138265,https://www.metal-archives.com/bands/%C3%82mon_Sethis/3540294594,Âmon Sethis,France,Progressive Metal,Active
138266,https://www.metal-archives.com/bands/%C3%81msvartnir/7680,Ámsvartnir,Iceland,Black Metal,Split-up
138267,https://www.metal-archives.com/bands/%C3%81nastros/3540340108,Ánastros,Chile,Black Metal; Ambient,Unknown
138268,https://www.metal-archives.com/bands/%C3%85nd/3540418959,Ånd,Germany,Post-Black Metal,Active
